Wall time,Step,Value
1557502712.4213457,0,1059471097856.0
1557502715.760878,2,777461170176.0
1557502719.075442,4,422923599872.0
1557502722.3906045,6,164217962496.0
1557502725.7206955,8,113148452864.0
1557502729.053474,10,76081840128.0
1557502732.366628,12,56882053120.0
1557502735.7081776,14,16955328512.0
1557502739.013819,16,76759105536.0
1557502742.3429167,18,10688641024.0
1557502745.6650064,20,45711732736.0
1557502748.9897249,22,31350425600.0
1557502752.3004773,24,15025949696.0
1557502755.61374,26,24052543488.0
1557502758.9299202,28,13607972864.0
1557502762.2557411,30,10206655488.0
1557502765.5516267,32,20159717376.0
1557502768.873129,34,11404721152.0
1557502772.2089896,36,11764882432.0
1557502775.5317135,38,16185730048.0
1557502778.8524203,40,7231373312.0
1557502782.188915,42,8583870976.0
1557502785.504224,44,9071403008.0
1557502788.8483593,46,5744021504.0
1557502792.1697178,48,4513065984.0
1557502795.4744077,50,4812563456.0
1557502798.8097663,52,5582059520.0
1557502802.1651156,54,4659735552.0
1557502805.5591648,56,4248243456.0
1557502808.8929636,58,4403348992.0
1557502812.2383552,60,4043290624.0
1557502815.5731418,62,3104917504.0
1557502818.8984258,64,3114726400.0
1557502822.2020547,66,5164661760.0
1557502825.511352,68,6004340736.0
1557502828.8657334,70,4373911552.0
1557502832.1910357,72,3712382720.0
1557502835.498501,74,2950301184.0
1557502838.8378909,76,3684469248.0
1557502842.1668584,78,5469053952.0
1557502845.504038,80,4142815232.0
1557502848.8346336,82,2849182208.0
1557502852.161345,84,3463856128.0
1557502855.4941795,86,4931500032.0
1557502858.8026388,88,3374450176.0
1557502862.111522,90,3940235776.0
1557502865.4416199,92,2701121792.0
1557502868.7573748,94,3035296512.0
1557502872.061053,96,2654678272.0
1557502875.402452,98,3506419200.0
1557502878.7621305,100,2907269120.0
1557502882.0971997,102,2886324992.0
1557502885.4211023,104,3531513600.0
1557502888.7377236,106,2928092672.0
1557502892.0859241,108,2886605312.0
1557502895.431035,110,3013600256.0
1557502898.7410862,112,2890976768.0
1557502902.0666912,114,1727470976.0
1557502905.401864,116,3054315776.0
1557502908.7149868,118,1944337408.0
1557502912.044573,120,2785294080.0
1557502915.3492525,122,2725062144.0
1557502918.694123,124,2161890816.0
1557502920.9512517,125,2879663360.0
1557502924.295965,127,2717058560.0
1557502927.646712,129,1926969088.0
1557502930.959745,131,2534375936.0
1557502934.303223,133,2269430016.0
1557502937.6507852,135,2382595328.0
1557502940.992385,137,3195266560.0
1557502944.3274422,139,2907179264.0
1557502947.6488242,141,2349571840.0
1557502950.9562242,143,2072903552.0
1557502954.274582,145,2041465216.0
1557502957.589935,147,2126385792.0
1557502960.9241571,149,2243120384.0
1557502964.2440822,151,2298307584.0
1557502967.5741959,153,2191277056.0
1557502970.8753345,155,1813235968.0
1557502974.193697,157,1983867392.0
1557502977.5257332,159,1652504448.0
1557502980.8663325,161,2560397312.0
1557502984.2146962,163,2160326400.0
1557502987.5382557,165,2106612992.0
1557502990.8447104,167,1782520320.0
1557502994.164678,169,1625010304.0
1557502997.467581,171,2053648768.0
1557503000.7988148,173,1239093760.0
1557503004.1038582,175,2104553088.0
1557503007.4257462,177,1860853248.0
1557503010.7565553,179,1625816448.0
1557503014.078252,181,1733321856.0
1557503017.4166615,183,1585296000.0
1557503020.7337325,185,2088708864.0
1557503024.0395381,187,2322305792.0
1557503027.3852582,189,1953006592.0
1557503030.7273884,191,1918467968.0
1557503034.0344615,193,2000145280.0
1557503037.3610141,195,1970807936.0
1557503040.6676185,197,2384576000.0
1557503043.9811683,199,1670567424.0
1557503047.3298404,201,1446338176.0
1557503050.6598194,203,1856993664.0
1557503053.998175,205,1399639936.0
1557503057.3122547,207,1793466880.0
1557503060.6269054,209,2770592000.0
1557503063.963333,211,1890294272.0
1557503067.2669604,213,1332442752.0
1557503070.5753536,215,1488274944.0
1557503073.9054928,217,2362462720.0
1557503077.215512,219,3257213696.0
1557503080.5207524,221,2621801984.0
1557503083.8353894,223,1878624768.0
1557503087.1697974,225,1796252288.0
1557503090.4893196,227,1477691136.0
1557503093.807704,229,1918840448.0
1557503097.1508267,231,2441554176.0
1557503100.4863024,233,2668947200.0
1557503103.8310423,235,2236224000.0
1557503107.1346962,237,1877550848.0
1557503110.4702687,239,1617145344.0
1557503113.792529,241,1818837504.0
1557503117.1124551,243,1322788992.0
1557503120.4103155,245,1579086464.0
1557503123.7203157,247,1440853248.0
1557503127.0424004,249,1680457728.0
1557503129.233504,250,2560768256.0
1557503132.5445874,252,2181923072.0
1557503135.8294206,254,1257249920.0
1557503139.1273696,256,1494122368.0
1557503142.45168,258,1434112640.0
1557503145.7753747,260,1302872960.0
